Sample	Dataset	sex	superpop
HG04209	1KGP-LRSC	XX	SAS
HG04211	1KGP-LRSC	XY	SAS
HG04212	1KGP-LRSC	XX	SAS
HG04214	1KGP-LRSC	XX	SAS
HG04228	HPRC	XY	SAS
HG04235	1KGP-LRSC	XY	SAS
HG04239	1KGP-LRSC	XY	SAS
NA18505	HPRC	XX	AFR
NA18508	HPRC	XX	AFR
NA18522	HPRC	XY	AFR
NA18565	HPRC	XX	EAS
NA18570	HPRC	XX	EAS
NA18608	HPRC	XY	EAS
NA18620	HPRC	XY	EAS
NA18747	HPRC	XY	EAS
NA18879	HPRC	XY	AFR
NA18906	HPRC	XX	AFR
NA18940	HPRC	XY	EAS
NA18943	HPRC	XY	EAS
NA18944	HPRC	XY	EAS
NA18945	HPRC	XY	EAS
NA18948	HPRC	XY	EAS
NA18952	HPRC	XY	EAS
NA18959	HPRC	XY	EAS
NA18960	HPRC	XY	EAS
NA18967	HPRC	XY	EAS
NA18970	HPRC	XY	EAS
NA18971	HPRC	XY	EAS
NA18974	HPRC	XY	EAS
NA18976	HPRC	XX	EAS
NA18982	HPRC	XY	EAS
NA18983	HPRC	XY	EAS
NA19036	HPRC	XX	AFR
NA19038	1KGP-LRSC	XX	AFR
NA19043	HPRC	XY	AFR
NA19087	HPRC	XX	EAS
NA19159	HPRC	XX	AFR
NA19185	HPRC	XX	AFR
NA19238	1KGP-LRSC	XX	AFR
NA19240	HPRC	XX	AFR
NA19338	HPRC	XX	AFR
NA19391	HPRC	XX	AFR
NA19404	1KGP-LRSC	XX	AFR
NA19429	1KGP-LRSC	XY	AFR
NA19443	HPRC	XY	AFR
NA19468	HPRC	XX	AFR
NA19682	HPRC	XY	AMR
NA19700	HPRC	XY	AFR
NA19776	HPRC	XX	AMR
NA19835	HPRC	XX	AFR
NA19909	HPRC	XX	AFR
NA20129	HPRC	XX	AFR
NA20282	HPRC	XX	AFR
NA20346	HPRC	XY	AFR
NA20503	HPRC	XX	EUR
NA20752	HPRC	XY	EUR
NA20762	HPRC	XY	EUR
NA20799	HPRC	XX	EUR
NA20805	HPRC	XY	EUR
NA20806	HPRC	XY	EUR
NA20809	HPRC	XY	EUR
NA20827	HPRC	XY	EUR
NA20847	1KGP-LRSC	XX	SAS
NA20850	HPRC	XY	SAS
NA20870	HPRC	XY	SAS
NA20905	HPRC	XY	SAS
NA21093	HPRC	XY	SAS
NA21102	HPRC	XX	SAS
NA21106	HPRC	XX	SAS
NA21110	HPRC	XX	SAS
NA21144	HPRC	XX	SAS
NA21309	HPRC	XX	AFR
